CustomerID,TotalOrders,CustomerLifetimeValue,AvgBasketValue,TotalItemsPurchased,FirstPurchase,LastPurchase,CustomerTenure_Days,Recency_Days,IsRepeatCustomer,PurchaseFrequency,R_Score,F_Score,M_Score,RFM_Score,CustomerSegment
12346.0,11,372.86,11.298787878787879,70,2009-12-14 08:34:00,2010-06-28 13:53:00,196,164,1,1.6751269035532996,2,5,2,252,Potential Loyalists
12347.0,2,1323.32,18.63830985915493,828,2010-10-31 14:20:00,2010-12-07 14:57:00,37,2,1,1.5789473684210527,5,2,4,524,Loyal Customers
12348.0,1,222.15999999999997,11.107999999999999,373,2010-09-27 14:59:00,2010-09-27 14:59:00,0,73,0,30.0,2,1,1,211,Lost Customers
12349.0,3,2671.14,26.18764705882353,993,2010-04-29 13:20:00,2010-10-28 08:23:00,181,42,1,0.4945054945054945,3,3,5,335,Loyal Customers
12351.0,1,300.93,14.33,261,2010-11-29 15:23:00,2010-11-29 15:23:00,0,10,0,30.0,5,1,2,512,Potential Loyalists
12352.0,2,343.8,19.1,188,2010-11-12 10:20:00,2010-11-29 10:07:00,16,10,1,3.5294117647058822,5,2,2,522,Potential Loyalists
12353.0,1,317.76,15.888,192,2010-10-27 12:44:00,2010-10-27 12:44:00,0,43,0,30.0,3,1,2,312,At Risk
12355.0,1,488.21000000000004,22.191363636363636,303,2010-05-21 11:59:00,2010-05-21 11:59:00,0,202,0,30.0,1,1,2,112,Lost Customers
12356.0,3,3560.3,42.89518072289157,1825,2010-10-11 09:42:00,2010-11-24 12:24:00,44,15,1,2.0,4,3,5,435,Loyal Customers
12357.0,2,12079.99,73.2120606060606,3879,2010-11-16 10:05:00,2010-11-16 14:29:00,0,23,1,60.0,4,2,5,425,Loyal Customers
12358.0,3,2719.01,46.879482758620696,831,2009-12-08 07:59:00,2010-11-29 10:56:00,356,10,1,0.25210084033613445,5,3,5,535,Champions
12359.0,6,2563.36,21.90905982905983,1130,2009-12-05 13:32:00,2010-10-10 11:16:00,308,60,1,0.5825242718446602,3,4,5,345,Loyal Customers
12360.0,5,1590.83,18.077613636363637,1294,2010-02-22 09:32:00,2010-11-25 11:04:00,276,14,1,0.5415162454873647,5,4,4,544,Champions
12361.0,3,321.35,16.913157894736845,144,2010-01-26 14:37:00,2010-09-03 15:19:00,220,97,1,0.4072398190045249,2,3,2,232,Potential Loyalists
12362.0,1,130.0,130.0,1,2009-12-01 10:10:00,2009-12-01 10:10:00,0,373,0,30.0,1,1,1,111,Lost Customers
12366.0,1,500.24,166.74666666666667,296,2010-03-16 10:28:00,2010-03-16 10:28:00,0,268,0,30.0,1,1,3,113,At Risk
12368.0,1,917.7,50.983333333333334,330,2010-03-21 15:56:00,2010-03-21 15:56:00,0,263,0,30.0,1,1,3,113,At Risk
12369.0,3,1791.15,19.25967741935484,1241,2010-03-08 08:09:00,2010-10-22 13:13:00,228,48,1,0.3930131004366812,3,3,4,334,Loyal Customers
12370.0,3,774.62,22.132,252,2010-02-09 09:41:00,2010-03-25 12:10:00,44,259,1,2.0,1,3,3,133,Potential Loyalists
12371.0,3,2179.42,20.95596153846154,845,2010-03-04 18:23:00,2010-10-26 13:37:00,235,44,1,0.38135593220338987,3,3,5,335,Loyal Customers
12373.0,2,763.0500000000001,20.622972972972974,319,2010-02-04 12:08:00,2010-03-25 13:49:00,49,259,1,1.2,1,2,3,123,At Risk
12374.0,3,2246.29,44.9258,1020,2010-04-30 14:01:00,2010-10-14 13:31:00,166,56,1,0.5389221556886228,3,3,5,335,Loyal Customers
12376.0,2,503.15,38.70384615384615,240,2010-10-18 08:42:00,2010-11-15 12:15:00,28,24,1,2.0689655172413794,4,2,3,423,Potential Loyalists
12377.0,2,1798.2,23.976,1161,2010-04-29 15:34:00,2010-11-23 19:24:00,208,16,1,0.28708133971291866,4,2,4,424,Loyal Customers
12378.0,1,1407.7,17.167073170731708,787,2010-05-26 14:07:00,2010-05-26 14:07:00,0,197,0,30.0,1,1,4,114,At Risk
12379.0,2,767.98,18.73121951219512,408,2010-06-23 12:49:00,2010-10-13 14:46:00,112,57,1,0.5309734513274337,3,2,3,323,Potential Loyalists
12380.0,7,6951.49,40.18202312138728,2228,2010-02-15 12:05:00,2010-08-31 14:54:00,197,100,1,1.0606060606060606,2,5,5,255,Loyal Customers
