YearMonth,MonthlyRevenue,MonthlyOrders,MonthlyCustomers,RevenueGrowth_Pct
2009-12,822483.95,1682,955,
2010-01,651155.112,1105,720,-20.830660342976902
2010-02,551504.726,1201,772,-15.303632600522366
2010-03,830915.261,1681,1057,50.66330746184757
2010-04,678875.252,1462,942,-18.297895842834933
2010-05,657705.5,1500,966,-3.118356713937187
2010-06,749537.31,1645,1041,13.962451279486032
2010-07,648810.27,1529,928,-13.438562517988606
2010-08,695251.91,1425,911,7.157969308962997
2010-09,921696.991,1839,1145,32.57022062693793
2010-10,1161902.22,2301,1497,26.061192707094328
2010-11,1464293.142,2747,1607,26.025505141043624
2010-12,437631.02,834,573,-70.11315511576711
