StockCode,Description,TotalRevenue,UnitsSold,OrderCount,UniqueCustomers,AvgPrice
M,Manual,262577.36,2764,512,283,94.99904486251809
22423,REGENCY CAKESTAND 3 TIER,169912.75999999998,13685,2019,818,12.41598538545853
85123A,WHITE HANGING HEART T-LIGHT HOLDER,158305.72,58386,3281,1141,2.711364368170452
DOT,DOTCOM POSTAGE,116408.71,730,730,0,159.46398630136989
84879,ASSORTED COLOUR BIRD ORNAMENT,72890.19,45228,1412,627,1.6116164765189707
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,58127.3,17205,957,505,3.3785120604475445
85099B,JUMBO BAG RED RETROSPOT,54368.82,30327,1222,539,1.792752992383025
47566,PARTY BUNTING,49664.12,10079,1013,391,4.927484869530708
POST,POSTAGE,49477.54,2310,759,230,21.418848484848485
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,47954.49,23037,347,177,2.081629118374788
15056N,EDWARDIAN PARASOL NATURAL,36251.1,7416,591,245,4.888228155339806
21621,VINTAGE UNION JACK BUNTING,36023.71,4144,829,418,8.692980212355213
85099F,JUMBO BAG STRAWBERRY,35887.14,19835,1040,392,1.809283589614318
21232,STRAWBERRY CERAMIC TRINKET BOX,34411.68,27059,1640,555,1.2717277061236558
85099C,JUMBO  BAG BAROQUE BLACK WHITE,32055.82,17253,960,362,1.8579852779226802
15056BL,EDWARDIAN PARASOL BLACK,31999.350000000002,6756,553,247,4.736434280639432
21931,JUMBO STORAGE BAG SUKI,31493.71,15838,1179,401,1.9884903396893547
22189,CREAM HEART CARD HOLDER,31111.56,10066,797,386,3.0907570037750847
79321,CHILLI LIGHTS,31061.2,6461,512,197,4.807491100448847
21754,HOME BUILDING BLOCK WORD,30851.27,5037,1331,508,6.1249295215406
22114,HOT WATER BOTTLE TEA AND SYMPATHY,30388.910000000003,6680,1016,449,4.549238023952096
20725,LUNCH BAG RED SPOTTY,29773.27,17885,1218,499,1.6647061783617556
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,29572.25,15095,1057,449,1.9590758529314343
21623,VINTAGE UNION JACK MEMOBOARD,29102.69,3927,327,213,7.410921823274764
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,28828.0,8986,689,430,3.208101491208547
20914,SET/5 RED SPOTTY LID GLASS BOWLS,28734.120000000003,10418,882,357,2.758122480322519
21137,BLACK RECORD COVER FRAME,28662.34,8294,272,108,3.4557921388955872
21843,RED RETROSPOT CAKE STAND,28640.239999999998,2758,685,361,10.38442349528644
21733,RED HANGING HEART T-LIGHT HOLDER,28242.68,10088,1066,549,2.7996312450436163
22112,CHOCOLATE HOT WATER BOTTLE,27817.74,5515,928,429,5.04401450589302
84078A,SET/4 WHITE RETRO STORAGE CUBES ,27558.210000000003,714,174,86,38.596932773109245
22111,SCOTTIE DOG HOT WATER BOTTLE,27481.47,5508,994,498,4.989373638344227
21929,JUMBO BAG PINK VINTAGE PAISLEY,27121.76,14931,774,323,1.8164731096376665
22197,SMALL POPCORN HOLDER,27022.23,29773,882,314,0.9076085715245357
82484,WOOD BLACK BOARD ANT WHITE FINISH,26811.8,5034,522,270,5.326142232816846
22386,JUMBO BAG PINK WITH WHITE SPOTS,26242.66,14202,802,358,1.847814392339107
21928,JUMBO BAG SCANDINAVIAN PAISLEY,25878.77,14275,755,305,1.8128735551663748
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,25868.47,8971,523,232,2.8835659346784084
22470,HEART OF WICKER LARGE,25673.910000000003,8621,1092,570,2.9780663496114146
21731,RED TOADSTOOL LED NIGHT LIGHT,25588.56,15695,720,264,1.6303638101306148
84029E,RED WOOLLY HOTTIE WHITE HEART.,25454.100000000002,7023,805,403,3.6243912857753102
37503,TEA TIME CAKE STAND IN GIFT BOX,25428.33,2465,522,256,10.315752535496959
84946,ANTIQUE SILVER TEA GLASS ETCHED,25305.09,18710,907,369,1.3524901122394442
82494L,WOODEN FRAME ANTIQUE WHITE ,25067.61,8866,1113,418,2.827386645612452
85099B,JUMBO BAG RED WHITE SPOTTY ,25043.62,14060,534,321,1.7811963015647225
22090,PAPER BUNTING RETRO SPOTS,24933.940000000002,8292,783,367,3.006987457790642
48138,DOOR MAT UNION FLAG,24770.81,3775,673,389,6.561803973509934
21212,PACK OF 72 RETRO SPOT CAKE CASES,24054.43,46728,1410,632,0.5147755093305941
20727,LUNCH BAG  BLACK SKULL.,23936.93,14847,1115,467,1.6122401832019937
21755,LOVE BUILDING BLOCK WORD,22920.53,3715,1091,490,6.169725437415881
21181,PLEASE ONE PERSON METAL SIGN,21725.370000000003,10887,834,392,1.995533204739598
22138,BAKING SET 9 PIECE RETROSPOT ,21696.74,4429,980,632,4.898789794536013
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,21301.04,4438,771,465,4.7996935556557005
22083,PAPER CHAIN KIT RETRO SPOT,21151.79,7579,591,324,2.7908417997097246
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,21065.190000000002,7683,596,273,2.7417922686450606
20728,LUNCH BAG CARS BLUE,20996.16,13052,944,440,1.608654612319951
22188,BLACK HEART CARD HOLDER,20713.83,7613,395,222,2.720849862078025
22383,LUNCH BAG SUKI  DESIGN ,20688.89,12475,1114,431,1.6584280561122244
82486,WOOD S/3 CABINET ANT WHITE FINISH,20660.88,2717,707,233,7.604298859035701
20679,EDWARDIAN PARASOL RED,20628.05,4546,409,189,4.537626484821821
